Name;Beginn;Ende;Ressourcen;Personen
Erstsemesterbegrüßung;28.11.2016 09:00;28.11.2016 12:15;Vorlesungsraum 1.19, Schloss 10 (L09), MGH-TWIW16ITVA, Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;Möhringer, Herr Prof.
Einführung in die Wissenschaftstheorie zur praktischen Anwendung;28.11.2016 13:15;28.11.2016 16:30;Vorlesungsraum 1.19, Schloss 10 (L09), MGH-TWIW16ITVA, Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;
Werkstoffkunde (T2WIW1100);29.11.2016 13:30;29.11.2016 16:45;Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;Siegismund, Prof.
Technische Mechanik I (T2WIW1101);30.11.2016 09:00;30.11.2016 12:15;Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;Siegismund, Prof.
Informationstechnik I (T2WIW1003);30.11.2016 13:15;30.11.2016 16:30;MGH-TWIW16ITVB/IPM, Vorlesungsraum 0.26, Schloss 10 (L07);Lutz, Herr
Technische Mechanik I (T2WIW1101);01.12.2016 13:15;01.12.2016 16:30;Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;Siegismund, Prof.
Repetitorium Mathematik;02.12.2016 09:00;02.12.2016 12:15;Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;Adam, Herr
Volkswirtschaftslehre (T2WIW1002);02.12.2016 13:15;02.12.2016 17:15;Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;Dombrowski, Herr
Studium flexibel;05.12.2016 08:00;05.12.2016 17:00;MGH-TWIW16ITVB/IPM;
Technische Mechanik I (T2WIW1101);06.12.2016 13:15;06.12.2016 16:30;Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;Siegismund, Prof.
Informationstechnik I (T2WIW1003);07.12.2016 09:00;07.12.2016 12:15;MGH-TWIW16ITVB/IPM, Vorlesungsraum 0.26, Schloss 10 (L07);Lutz, Herr
Werkstoffkunde (T2WIW1100);07.12.2016 13:15;07.12.2016 16:30;Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;Siegismund, Prof.
Technische Mechanik I (T2WIW1101);08.12.2016 13:15;08.12.2016 16:30;Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;Siegismund, Prof.
Repetitorium Mathematik;09.12.2016 09:00;09.12.2016 12:15;Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;Adam, Herr
Volkswirtschaftslehre (T2WIW1002);09.12.2016 13:15;09.12.2016 17:15;Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;Dombrowski, Herr
Werkstoffkunde (T2WIW1100);12.12.2016 09:00;12.12.2016 12:15;Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;Siegismund, Prof.
Mathematik I (T2WIW1001);12.12.2016 13:15;12.12.2016 16:30;Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;Köberle, Frau Prof.
Mathematik I (T2WIW1001);13.12.2016 09:00;13.12.2016 12:15;Vorlesungsraum 0.12, Schloss 10, Pavillon, MGH-TWIW16ITVB/IPM;Köberle, Frau Prof.
Technische Mechanik I (T2WIW1101);13.12.2016 13:15;13.12.2016 16:30;Vorlesungsraum 0.12, Schloss 10, Pavillon, MGH-TWIW16ITVB/IPM;Siegismund, Prof.
Mathematik I (T2WIW1001);14.12.2016 09:00;14.12.2016 12:15;Vorlesungsraum 0.12, Schloss 10, Pavillon, MGH-TWIW16ITVB/IPM;Köberle, Frau Prof.
Technische Mechanik I (T2WIW1101);15.12.2016 13:15;15.12.2016 16:30;Vorlesungsraum 0.12, Schloss 10, Pavillon, MGH-TWIW16ITVB/IPM;Siegismund, Prof.
Repetitorium Mathematik;16.12.2016 09:00;16.12.2016 12:15;Vorlesungsraum 0.12, Schloss 10, Pavillon, MGH-TWIW16ITVB/IPM;Adam, Herr
Volkswirtschaftslehre (T2WIW1002);16.12.2016 13:15;16.12.2016 17:15;Vorlesungsraum 0.12, Schloss 10, Pavillon, MGH-TWIW16ITVB/IPM;Dombrowski, Herr
Werkstoffkunde (T2WIW1100);19.12.2016 09:00;19.12.2016 12:15;Vorlesungsraum 0.12, Schloss 10, Pavillon, MGH-TWIW16ITVB/IPM;Siegismund, Prof.
Mathematik I (T2WIW1001);19.12.2016 13:15;19.12.2016 16:30;Vorlesungsraum 0.12, Schloss 10, Pavillon, MGH-TWIW16ITVB/IPM;Köberle, Frau Prof.
Mathematik I (T2WIW1001);20.12.2016 09:00;20.12.2016 12:15;Vorlesungsraum 0.12, Schloss 10, Pavillon, MGH-TWIW16ITVB/IPM;Köberle, Frau Prof.
Technische Mechanik I (T2WIW1101);20.12.2016 13:15;20.12.2016 16:30;Vorlesungsraum 0.12, Schloss 10, Pavillon, MGH-TWIW16ITVB/IPM;Siegismund, Prof.
Mathematik I (T2WIW1001);21.12.2016 09:00;21.12.2016 12:15;Vorlesungsraum 0.12, Schloss 10, Pavillon, MGH-TWIW16ITVB/IPM;Köberle, Frau Prof.
Technische Mechanik I (T2WIW1101);21.12.2016 13:15;21.12.2016 16:30;Vorlesungsraum 0.12, Schloss 10, Pavillon, MGH-TWIW16ITVB/IPM;Siegismund, Prof.
Informationstechnik I (T2WIW1003);22.12.2016 09:00;22.12.2016 12:15;MGH-TWIW16ITVB/IPM, Vorlesungsraum 0.26, Schloss 10 (L07);Lutz, Herr
Informationstechnik I (T2WIW1003);22.12.2016 13:15;22.12.2016 17:15;MGH-TWIW16ITVB/IPM, Vorlesungsraum 0.26, Schloss 10 (L07);Lutz, Herr
Repetitorium Mathematik;23.12.2016 09:00;23.12.2016 12:15;Vorlesungsraum 0.12, Schloss 10, Pavillon, MGH-TWIW16ITVB/IPM;Adam, Herr
Volkswirtschaftslehre (T2WIW1002);23.12.2016 13:15;23.12.2016 16:30;Vorlesungsraum 0.12, Schloss 10, Pavillon, MGH-TWIW16ITVB/IPM;Dombrowski, Herr
Weihnachten;26.12.2016 08:00;26.12.2016 18:00;MGH-TWIW16ITVA, MGH-TWIW16ITVB/IPM;
Praxisphase;27.12.2016 08:00;27.12.2016 18:00;MGH-TWIW16ITVA, MGH-TWIW16ITVB/IPM;
Praxisphase;28.12.2016 08:00;28.12.2016 18:00;MGH-TWIW16ITVA, MGH-TWIW16ITVB/IPM;
Praxisphase;29.12.2016 08:00;29.12.2016 18:00;MGH-TWIW16ITVA, MGH-TWIW16ITVB/IPM;
Praxisphase;30.12.2016 08:00;30.12.2016 18:00;MGH-TWIW16ITVA, MGH-TWIW16ITVB/IPM;
Praxisphase;02.01.2017 08:00;02.01.2017 18:00;MGH-TWIW16ITVA, MGH-TWIW16ITVB/IPM;
Praxisphase;03.01.2017 08:00;03.01.2017 18:00;MGH-TWIW16ITVA, MGH-TWIW16ITVB/IPM;
Praxisphase;04.01.2017 08:00;04.01.2017 18:00;MGH-TWIW16ITVA, MGH-TWIW16ITVB/IPM;
Praxisphase;05.01.2017 08:00;05.01.2017 18:00;MGH-TWIW16ITVA, MGH-TWIW16ITVB/IPM;
Neujahr;06.01.2017 08:00;06.01.2017 18:00;MGH-TWIW16ITVA, MGH-TWIW16ITVB/IPM;
Werkstoffkunde (T2WIW1100);09.01.2017 13:15;09.01.2017 16:30;Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;Siegismund, Prof.
Technische Mechanik I (T2WIW1101);10.01.2017 09:00;10.01.2017 12:15;Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;Siegismund, Prof.
Volkswirtschaftslehre (T2WIW1002);10.01.2017 14:00;10.01.2017 16:15;Vorlesungsraum 1.18, Schloss 10 (L10), MGH-TWIW16ITVB/IPM;Dombrowski, Herr
